Title,Directory Categories,com,Directory Tags,country,alhatf_alxlwy,albryd_alilktrwny,alenwan,uidd
الأكاديمية الأردنية للرعاية الشاملة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,,عمان، ضاحية الرشيد ,1683
مركز إصرار للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,israr.academy.jo@gmail.com,عمان، الرابية، مقابل مطعم أريج الشام - فيلا 19 ,1684
المركز الدولي للتدخل السلوكي,إعاقات ذهنية;توحد,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962797760333,ibic.jordan@gmail.com,عمان، الجبيهة، حي ام زويتينة، مقابل التعليم العالي - بجانب مدارس ليمار,1685
مركز شمس الأردن للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962797769640,shamsalordon@gmail.com,عمان، جاوا، قرب معصرة الزيتون ,1686
مركز السوسنة للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795553489,iris4special@gmail.com,عمان، أبو نصير، قرب مستشفى الرشيد ,1687
مركز التحدي للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962790797172,althaddi4se@gmail.com,عمان، طريق المطار، بجانب جامعة الشرق الأوسط للدراسات العليا,1688
مركز المنار للتنمية الفكرية / سحاب,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية;عمان,الأردن,962776986334,,عمان، سحاب، العبدلية، طريق خشافية الدبايبة - قرب مركز شباب وشابات لواء سحاب ,1689
معهد التصحيح الزائد للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962786198616,h14seham@gmail.com,عمان، طبربور، إسكان الجيش، بجانب مبنى المتقاعدين العسكريين - مبنى رقم 16 ,1690
مركز القرية العربية لذوي التحديات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,info@arabic.village-jo.com,عمان، شفا بدران، شارع عبد الحميد أبو ريشة، قرب مسجد الصابرين - قرب مركز الرعاية و الأيتام ,1691
جمعية أجواء الأردن الخيرية,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,,info@ajwaa.org,عمان، أبو نصير، حي السعادة، شارع الكرامة - إشارة النصيرات - ط 1 - مكتب 7 ,1692
مؤسسة إدراك للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962798853637,zinagwor@yahoo.com,عمان، الدوار السابع، شارع إبراهيم القطان - فيلا رقم 27,1693
معهد الشرق الأوسط للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,meise.info@gmail.com,عمان، طبربور، خلف أسواق بدران - قرب مركز الفاروق للقرآن ,1694
مركز المدار الدولي للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,almadar.center@yahoo.com,عمان، المقابلين، الحسينية، دوار جويعد - قرب مدراس الحسينية  للذكور - بناء رقم 12 - ط.ارضي,1695
مركز دنيا الطفل لذوي الاحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962791473035,,عمان، أبو علندا، حي الشيوخ _ مقابل مجمع زهرة الاردن - بناء رقم 14 ,1696
جمعية بيت المقدس الخيرية,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962795178973,bayt_almaqdes@hotmail.com,عمان، أم نوارة، شارع الدفاع المدني _ قرب مدارس صناع التفوق ,1697
مركز أوكسجين للرعاية والتأهيل,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,o2jordan@hotmail.com,عمان، الدوار السابع، خلف محطة البرج للمحروقات، شارع عبدالرحمن خليفة - فيلا رقم 4,1698
مركز السند للتدريب,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,sundoskiswani@gmail.com,عمان، صويلح، شارع الملكة رانيا العبدالله، قرب مجدي مول - عمارة النبر - بناية رقم 313 - ط.أرضي,1699
مدرسة المسار لخدمات تطور الطفل,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795000048,info@almsar.edu.jo,عمان، خلدا، شارع الباقورة - بناء رقم 30,1700
مركز جاك سركيس,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,info@jacksarkis.com,عمان، خلدا، شارع وصفي التل - بناء339,1701
مركز رشا للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,ksawla3@orange.jo,عمان، جبل عمان، شارع رياض المفلح، مقابل السفارة الفلسطينية - عمارة 34,1702
جمعية الهبة للأيتام ذوي الاعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962796411221,hebaorphansorg@yahoo.com,عمان، ماركا الشمالية، مقابل بنك الإسكان، مجمع علي الحواري - ط2 - مكتب 13 ,1703
مركز الحاجة رفيقة لذوي الاحتياجات الخاصة النهاري الخيري للإعاقات الذهنية,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962795431828,rafikasadkatzakah@yahoo.com,عمان، الوحدات، حي أم تينة الجنوبي، شارع النهر بجانب المركز الصحي - حي العودة ,1704
جمعية نعمل لأجلكم,إعاقات متعددة,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,,,عمان، الهاشمي الشمالي، قرب جمعية النوارس,1705
جمعية التكاتف للصم والأيتام الخيرية,إعاقات سمعية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962797808998,,عمان، الوحدات، خلف حلويات السهل الاخضر ,1706
مركز أطلس الشرق للتوحد وتنمية القدرات,توحد,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,info@ea-autsim.com,عمان، الجبيهة، خلف مدارس الإبداع التربوي ,1707
مركز الهدبان للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962778437080,info@alhadbancenter.com,عمان، الجبيهة، ضاحية الرشيد - شارع زينب الأسدية - بناية 24,1708
مركز التداوي لذوي الإعاقة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,,عمان، وادي السير، البحاث,1709
الجمعية الأردنية للفنيل كيتون الخيرية,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962796417636,f.davvagh@yahoo.com / salehdabbagh@yahoo.com,عمان، الجاردنز، عمارة البنك الإسلامي - مكتب رقم 301,1710
المركز العربي للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795661397,thearabcenter_se@yahoo.com,عمان، أم السماق، شارع إبراهيم مفلح العساف - فيلا30,1711
مركز وائل الترك للتجهيزات الطبية والسمعية,إعاقات سمعية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,alturkwael@yahoo.com,عمان، جبل الحسين، دوار فراس، مجمع لؤلؤة القريني - ط 3,1712
مركز عمر بن الخطاب للأطراف الإصطناعية والمقومات الطبية,إعاقات حركية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795339699,jmcmt.obk@gmail.com,عمان، شارع الخالدي، مجمع ماجي الطبي - بناء رقم (19),1713
مركز عمان للتوحد,توحد,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962795241142,ammanautsim2007@gmail.com,عمان، طبربور، نزلة السهل الاخضر- بناء رقم 51,1714
جمعية الياسمين لأطفال الداون,متلازمة داون,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,962796593838,info@yasmeen-jo.com,عمان، مرج الحمام، خلف مدرسة أم عبهرة للبنين ,1715
حضانة وروضة ألوان للتعليم المبكر,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962787661155,colorsnursrey@hotmail.com,عمان، الجبيهة، شارع عبدالله بن خلاد، خلف البنك العربي، عمارة رقم 11 - ط ارضي,1716
المدرسة النموذجية للتربية الخاصة,إعاقات متعددة,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962789332944,info@namothajia.com,عمان، طريق مطار الملكة علياء الدولي، خريبة السوق - خلف مدارس بيت المقدس ,1717
مركز المنار للتنمية الفكرية / المقابلين,إعاقات ذهنية,المراكز والمؤسسات,جهة حكومية;عمان,الأردن,962796551080,,عمان، ضاحية الحج حسن، شارع الإذاعة - مقابل ضريبة الدخل ,1718
مركز الرازي للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,962796963963,,عمان، الدوار السابع، شارع إبراهيم القطان - بجانب ميوزيك بوكس ,1719
مركز الأمل للتربية الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة تطوعية;عمان,الأردن,,yusraqazazz@yahoo.com,عمان، بيادر وادي السير، حي الجندويل، شارع أحمد عقلة النسور - بناء رقم 29,1720
الجمعية الوطنية لذوي الاحتياجات الخاصة,إعاقات ذهنية,المراكز والمؤسسات,جهة خاصة;عمان,الأردن,,nasn@orange.jo,عمان، الجاردنز، شارع حكيم بن حزام - فيلا رقم 4,1721
