Title,Directory Categories,Directory Tags,uidd,com,country,alhatf_alxlwy,albryd_alilktrwny,alenwan
جمعية أهالي وأصدقاء الأشخاص المعوقين,إعاقات متعددة,جهة تطوعية;عمان,habdir282,المراكز والمؤسسات,الأردن,,fsspd17@gmail.com,عمان، جبل الحسين، شارع الجليل، قرب جامع المحسنين، مقابل مدرسة الرشيد الأساسية - بناية رقم 86
المدرسة العربية للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,habdir283,المراكز والمؤسسات,الأردن,,arabicsse@yahoo.com,عمان، البنيات، شارع الحرية - بجانب صالة فينيسيا 
أكاديمية العصام للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,habdir284,المراكز والمؤسسات,الأردن,,alessam.academy@gmail.com,عمان، مرج الحمام، إسكان سلطة المصادر الطبيعية - خلف محطة أبو زهرة للمحروقات 
مركز بدوة للتربية الخاصة,إعاقات ذهنية,جهة تطوعية;عمان,habdir285,المراكز والمؤسسات,الأردن,,sehanafseh@hotmail.com,عمان، اللويبدة، شارع عادل زعيتر - بجانب مكتب منظمة التحرير الفلسطينية 
الأكاديمية الأردنية للرعاية الشاملة,إعاقات ذهنية,جهة خاصة;عمان,habdir286,المراكز والمؤسسات,الأردن,,,عمان، ضاحية الرشيد 
مركز إصرار للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,habdir287,المراكز والمؤسسات,الأردن,,israr.academy.jo@gmail.com,عمان، الرابية، مقابل مطعم أريج الشام - فيلا 19 
المركز الدولي للتدخل السلوكي,إعاقات ذهنية;توحد,جهة خاصة;عمان,habdir288,المراكز والمؤسسات,الأردن,962797760333,ibic.jordan@gmail.com,عمان، الجبيهة، حي ام زويتينة، مقابل التعليم العالي - بجانب مدارس ليمار
مركز شمس الأردن للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir289,المراكز والمؤسسات,الأردن,962797769640,shamsalordon@gmail.com,عمان، جاوا، قرب معصرة الزيتون 
مركز السوسنة للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir290,المراكز والمؤسسات,الأردن,962795553489,iris4special@gmail.com,عمان، أبو نصير، قرب مستشفى الرشيد 
مركز التحدي للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir291,المراكز والمؤسسات,الأردن,962790797172,althaddi4se@gmail.com,عمان، طريق المطار، بجانب جامعة الشرق الأوسط للدراسات العليا
مركز المنار للتنمية الفكرية / سحاب,إعاقات ذهنية,جهة حكومية;عمان,habdir292,المراكز والمؤسسات,الأردن,962776986334,,عمان، سحاب، العبدلية، طريق خشافية الدبايبة - قرب مركز شباب وشابات لواء سحاب 
معهد التصحيح الزائد للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir293,المراكز والمؤسسات,الأردن,962786198616,h14seham@gmail.com,عمان، طبربور، إسكان الجيش، بجانب مبنى المتقاعدين العسكريين - مبنى رقم 16 
مركز القرية العربية لذوي التحديات الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir294,المراكز والمؤسسات,الأردن,,info@arabic.village-jo.com,عمان، شفا بدران، شارع عبد الحميد أبو ريشة، قرب مسجد الصابرين - قرب مركز الرعاية و الأيتام 
جمعية أجواء الأردن الخيرية,إعاقات ذهنية,جهة تطوعية;عمان,habdir295,المراكز والمؤسسات,الأردن,,info@ajwaa.org,عمان، أبو نصير، حي السعادة، شارع الكرامة - إشارة النصيرات - ط 1 - مكتب 7 
مؤسسة إدراك للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir296,المراكز والمؤسسات,الأردن,962798853637,zinagwor@yahoo.com,عمان، الدوار السابع، شارع إبراهيم القطان - فيلا رقم 27
معهد الشرق الأوسط للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir297,المراكز والمؤسسات,الأردن,,meise.info@gmail.com,عمان، طبربور، خلف أسواق بدران - قرب مركز الفاروق للقرآن 
مركز المدار الدولي للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir298,المراكز والمؤسسات,الأردن,,almadar.center@yahoo.com,عمان، المقابلين، الحسينية، دوار جويعد - قرب مدراس الحسينية  للذكور - بناء رقم 12 - ط.ارضي
مركز دنيا الطفل لذوي الاحتياجات الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir299,المراكز والمؤسسات,الأردن,962791473035,,عمان، أبو علندا، حي الشيوخ _ مقابل مجمع زهرة الاردن - بناء رقم 14 
جمعية بيت المقدس الخيرية,إعاقات ذهنية,جهة تطوعية;عمان,habdir300,المراكز والمؤسسات,الأردن,962795178973,bayt_almaqdes@hotmail.com,عمان، أم نوارة، شارع الدفاع المدني _ قرب مدارس صناع التفوق 
مركز أوكسجين للرعاية والتأهيل,إعاقات ذهنية,جهة خاصة;عمان,habdir301,المراكز والمؤسسات,الأردن,,o2jordan@hotmail.com,عمان، الدوار السابع، خلف محطة البرج للمحروقات، شارع عبدالرحمن خليفة - فيلا رقم 4
مركز السند للتدريب,إعاقات متعددة,جهة خاصة;عمان,habdir302,المراكز والمؤسسات,الأردن,,sundoskiswani@gmail.com,عمان، صويلح، شارع الملكة رانيا العبدالله، قرب مجدي مول - عمارة النبر - بناية رقم 313 - ط.أرضي
مدرسة المسار لخدمات تطور الطفل,إعاقات ذهنية,جهة خاصة;عمان,habdir303,المراكز والمؤسسات,الأردن,962795000048,info@almsar.edu.jo,عمان، خلدا، شارع الباقورة - بناء رقم 30
مركز جاك سركيس,إعاقات متعددة,جهة خاصة;عمان,habdir304,المراكز والمؤسسات,الأردن,,info@jacksarkis.com,عمان، خلدا، شارع وصفي التل - بناء339
مركز رشا للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,habdir305,المراكز والمؤسسات,الأردن,,ksawla3@orange.jo,عمان، جبل عمان، شارع رياض المفلح، مقابل السفارة الفلسطينية - عمارة 34
جمعية الهبة للأيتام ذوي الاعاقة,إعاقات متعددة,جهة تطوعية;عمان,habdir306,المراكز والمؤسسات,الأردن,962796411221,hebaorphansorg@yahoo.com,عمان، ماركا الشمالية، مقابل بنك الإسكان، مجمع علي الحواري - ط2 - مكتب 13 
مركز الحاجة رفيقة لذوي الاحتياجات الخاصة النهاري الخيري للإعاقات الذهنية,إعاقات ذهنية,جهة تطوعية;عمان,habdir307,المراكز والمؤسسات,الأردن,962795431828,rafikasadkatzakah@yahoo.com,عمان، الوحدات، حي أم تينة الجنوبي، شارع النهر بجانب المركز الصحي - حي العودة 
جمعية نعمل لأجلكم,إعاقات متعددة,جهة تطوعية;عمان,habdir308,المراكز والمؤسسات,الأردن,,,عمان، الهاشمي الشمالي، قرب جمعية النوارس
جمعية التكاتف للصم والأيتام الخيرية,إعاقات سمعية,جهة تطوعية;عمان,habdir309,المراكز والمؤسسات,الأردن,962797808998,,عمان، الوحدات، خلف حلويات السهل الاخضر 
مركز أطلس الشرق للتوحد وتنمية القدرات,توحد,جهة خاصة;عمان,habdir310,المراكز والمؤسسات,الأردن,,info@ea-autsim.com,عمان، الجبيهة، خلف مدارس الإبداع التربوي 
مركز الهدبان للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,habdir311,المراكز والمؤسسات,الأردن,962778437080,info@alhadbancenter.com,عمان، الجبيهة، ضاحية الرشيد - شارع زينب الأسدية - بناية 24
مركز التداوي لذوي الإعاقة,إعاقات متعددة,جهة خاصة;عمان,habdir312,المراكز والمؤسسات,الأردن,,,عمان، وادي السير، البحاث
الجمعية الأردنية للفنيل كيتون الخيرية,إعاقات ذهنية,جهة تطوعية;عمان,habdir313,المراكز والمؤسسات,الأردن,962796417636,f.davvagh@yahoo.com / salehdabbagh@yahoo.com,عمان، الجاردنز، عمارة البنك الإسلامي - مكتب رقم 301
المركز العربي للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir314,المراكز والمؤسسات,الأردن,962795661397,thearabcenter_se@yahoo.com,عمان، أم السماق، شارع إبراهيم مفلح العساف - فيلا30
مركز وائل الترك للتجهيزات الطبية والسمعية,إعاقات سمعية,جهة خاصة;عمان,habdir315,المراكز والمؤسسات,الأردن,,alturkwael@yahoo.com,عمان، جبل الحسين، دوار فراس، مجمع لؤلؤة القريني - ط 3
مركز عمر بن الخطاب للأطراف الإصطناعية والمقومات الطبية,إعاقات حركية,جهة خاصة;عمان,habdir316,المراكز والمؤسسات,الأردن,962795339699,jmcmt.obk@gmail.com,عمان، شارع الخالدي، مجمع ماجي الطبي - بناء رقم (19)
مركز عمان للتوحد,توحد,جهة خاصة;عمان,habdir317,المراكز والمؤسسات,الأردن,962795241142,ammanautsim2007@gmail.com,عمان، طبربور، نزلة السهل الاخضر- بناء رقم 51
جمعية الياسمين لأطفال الداون,متلازمة داون,جهة تطوعية;عمان,habdir319,المراكز والمؤسسات,الأردن,962796593838,info@yasmeen-jo.com,عمان، مرج الحمام، خلف مدرسة أم عبهرة للبنين 
حضانة وروضة ألوان للتعليم المبكر,إعاقات متعددة,جهة خاصة;عمان,habdir321,المراكز والمؤسسات,الأردن,962787661155,colorsnursrey@hotmail.com,عمان، الجبيهة، شارع عبدالله بن خلاد، خلف البنك العربي، عمارة رقم 11 - ط ارضي
المدرسة النموذجية للتربية الخاصة,إعاقات متعددة,جهة خاصة;عمان,habdir322,المراكز والمؤسسات,الأردن,962789332944,info@namothajia.com,عمان، طريق مطار الملكة علياء الدولي، خريبة السوق - خلف مدارس بيت المقدس 
مركز المنار للتنمية الفكرية / المقابلين,إعاقات ذهنية,جهة حكومية;عمان,habdir323,المراكز والمؤسسات,الأردن,962796551080,,عمان، ضاحية الحج حسن، شارع الإذاعة - مقابل ضريبة الدخل 
مركز الرازي للتربية الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir324,المراكز والمؤسسات,الأردن,962796963963,,عمان، الدوار السابع، شارع إبراهيم القطان - بجانب ميوزيك بوكس 
مركز الأمل للتربية الخاصة,إعاقات ذهنية,جهة تطوعية;عمان,habdir325,المراكز والمؤسسات,الأردن,,yusraqazazz@yahoo.com,عمان، بيادر وادي السير، حي الجندويل، شارع أحمد عقلة النسور - بناء رقم 29
الجمعية الوطنية لذوي الاحتياجات الخاصة,إعاقات ذهنية,جهة خاصة;عمان,habdir326,المراكز والمؤسسات,الأردن,,nasn@orange.jo,عمان، الجاردنز، شارع حكيم بن حزام - فيلا رقم 4
